****************************************************************
Suite Created By = Protacon Technologies Ltd
TesterID = SWT-G3-42
SWT version = 1.4.0.6
TestPlaceIdentification = HST-6
ProductType = UHF
Chip Model = Monza5
Chip Manufacturer = Impinj
Product Specification = 3003122
Inlay Type = UHF
Product Readiness Level = 
Prodline Name = HST-6
Tester Name = SWT-G3_42
Product Name = Dose Wet
Product Spec = 3003122
Encoding Specification = 
Start of test = 2019-08-05 00:48:32
Main Roll ID = 0006262502
Sub Roll IDs = 
Roll Counter = 1
ReadersGAPs = 
Attenuation1.Value = 14.0
Attenuation2.Value = 0.0
Operator Name IC-Attachment =
Operator Name IC-Converting =
Operator Name Final Testing =
Chip Manufacturing Date =
SFG Roll ID = 0006262153
R1_CMD1 = FF0928000000020000000006 (CRC:CCITT:1:-1)|FF0D28000000E28011302000XXXXXXXXXXXXXXXX|45|0|1|0|Read Tag Tid Cmd(0:0)|1|TID(12:24)
Fields = Index, TID(12:24), ProductionMode, Status, Status_R1, Status_R2, Attenuation(0:), Attenuation_R1, Attenuation_R2, SpliceCount(0:), Time
138.1, FF0D28000000E280113020003098563909F68C5E, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:54.413
139.1, FF0D28000000E280113020003828563409F626CF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:54.704
140.1, FF0D28000000E2801130200030A8563909F649FB, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:54.962
141.1, FF0D28000000E280113020003839563409F6529C, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:55.222
142.1, FF0D28000000E2801130200030D9562F09F6D434, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:55.484
143.1, FF0D28000000E280113020003829563409F611FF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:55.729
144.1, FF0D28000000E2801130200030C9562F09F69757, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:55.987
145.1, FF0D28000000E280113020003839563E09F6F3D6, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:56.233
146.1, FF0D28000000E2801130200030D9563909F6A6C3, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:56.492
147.1, FF0D28000000E280113020003829563E09F6B0B5, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:56.750
148.1, FF0D28000000E2801130200030C9563909F6E5A0, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:57.009
149.1, FF0D28000000E280113020003839564B09F6DDE4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:57.259
150.1, FF0D28000000E2801130200030D9564409F609F9, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:57.501
151.1, FF0D28000000E280113020003829564B09F69E87, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:57.760
152.1, FF0D28000000E2801130200030C9564409F64A9A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:58.006
153.1, FF0D28000000E280113020003839565809F6FFB6, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:58.264
154.1, FF0D28000000E2801130200030D9565109F64B6D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:58.522
155.1, FF0D28000000E280113020003829565809F6BCD5, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:58.783
156.1, FF0D28000000E2801130200030C9565109F6080E, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:59.028
157.1, FF0D28000000E280113020003839566409F60869, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:59.288
158.1, FF0D28000000E2801130200030D9565E09F6BA82, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:59.538
159.1, FF0D28000000E280113020003829566409F64B0A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:59.796
160.1, FF0D28000000E2801130200030C9565E09F6F9E1, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:53:00.052
161.1, FF0D28000000E280113020003839566E09F6A923, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:53:00.310
162.1, FF0D28000000E2801130200030D9566A09F6CC55, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:53:00.557
163.1, FF0D28000000E280113020003829566E09F6EA40, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:53:00.815
164.1, FF0D28000000E2801130200030C9566A09F68F36, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:53:01.062
165.1, FF0D28000000E28011302000385A566E09F66B18, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:53:01.310
